"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","Actions"
"Active","Hoạt Động"
"Add New Rule","Thêm Quy Tắc Mới"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Apply"
"Apply Rules","Áp Dụng Quy Tắc"
"Attribute Set","Attribute Set"
"By Fixed Amount","Bằng Một Số Tiền Nhất Định"
"By Percentage of the Original Price","Bằng Tỷ Lệ Phần Trăm Của Giá Gốc"
"Catalog","Catalog"
"Catalog Price Rule","Quy Tắc Giá Của Danh Mục"
"Catalog Price Rules","Các Quy Tắc Giá Của Danh Mục"
"Category","Category"
"Conditions","Điều Kiện"
"Conditions (leave blank for all products)","Điều kiện (bỏ trống để áp dụng cho tất cả các sản phẩm)"
"Conditions Combination","Điều Kiện Kết Hợp"
"Customer Groups","Customer Groups"
"Customer Registered: %s","Customer Registered: %s"
"Customer is a New Buyer: %s","Customer is a New Buyer: %s"
"Date Expire","Ngày Hết Hạn"
"Date From","Date From"
"Date Start","Ngày Bắt Đầu"
"Date To","Date To"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Discount Amount","Số Tiền Giảm Giá"
"Edit Rule","Chỉnh Sửa Quy Tắc"
"Edit Rule '%s'","Chỉnh Sửa Quy Tắc '%s'"
"Enable Discount to Subproducts","Cho Phép Giảm Giá Với Sản Phẩm Con"
"Expire at: %s","Expire at: %s"
"From Date","Từ Ngày"
"General Information","General Information"
"ID","ID"
"Inactive","Không Hoạt Động"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","Tên: %s"
"New Rule","Quy Tắc Mới"
"No","No"
"Options","Options"
"Priority","Thứ Tự"
"Product Attribute","Thuộc Tính SP"
"Promotions","Promotions"
"Rule Information","Thông Tin Của Quy Tắc"
"Rule Name","Tên Quy Tắc"
"Save Rule","Lưu Lại"
"Save and Apply","Lưu Lại Và Áp Dụng"
"Save and Continue Edit","Lưu Lại Và Sửa Tiếp"
"Start at: %s","Bắt đầu từ: %s"
"Status","Trạng Thái"
"Stop Further Rules Processing","Dừng Các Quy Tắc Đang Xử Lý Khác"
"The rule has been deleted.","Quy tắc đã được xóa đi."
"The rule has been saved.","Quy tắc đã được lưu lại."
"The rules have been applied.","Các quy tắc đã được áp dụng."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","This rule no longer exists."
"To Date","Đến Ngày"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Yes"
